OTU_ID	inoculum1.control.before	inoculum1.control.after	inoculum1.treatment.before	inoculum1.treatment.after	inoculum2.control.before	inoculum2.control.after	inoculum2.treatment.before	inoculum2.treatment.after
otu362	10	5	1	12	0	0	0	0
otu363	0	0	0	0	1	1	2	6
otu364	2	0	0	0	0	0	0	0
otu365	0	0	0	0	5	27	9	16
otu366	0	0	0	0	0	66	0	1
otu367	0	0	0	0	2	0	0	12
otu368	0	0	0	0	1	1	6	7
otu369	0	0	0	0	0	0	7	5
otu370	0	0	0	0	0	60	0	0
otu371	0	0	0	47	0	0	0	0
otu372	0	0	0	4	0	14	0	12
otu373	2	1	0	0	0	0	0	0
otu374	4	0	1	1	0	0	0	0
otu375	0	0	0	0	0	1	2	0
otu376	3	0	0	1	0	0	0	0
otu377	5	8	3	4	0	0	0	0
otu378	2	4	4	2	0	0	5	0
otu379	0	0	0	0	1	1	1	0
otu380	1	0	0	2	1	0	0	0
otu381	0	0	0	0	2	0	8	6
otu382	3	1	1	2	0	0	0	0
otu383	12	0	0	5	0	0	0	0
otu384	0	0	0	0	0	5	3	1
otu385	0	0	0	0	0	0	3	0
otu386	2	0	0	0	0	0	0	0
otu387	0	0	0	0	1	2	14	0
otu388	0	0	0	0	1	4	5	3
otu389	0	0	0	0	3	1	2	1
otu390	10	0	0	0	0	0	0	0
otu391	0	0	0	0	0	28	0	2
otu392	1	0	0	1	0	0	0	0
otu393	0	0	0	2	0	1	0	0
otu394	0	0	0	0	1	0	2	1
otu395	1	3	1	0	0	0	0	0
otu396	0	0	0	0	0	86	2	0
otu397	1	0	0	0	11	3	17	4
otu398	0	0	0	0	2	1	3	15
otu399	0	0	0	0	1	2	5	3
otu400	0	0	0	0	3	0	2	0
otu401	0	0	0	0	1	2	5	2
otu402	0	0	0	0	1	0	1	0
otu403	0	0	0	2	0	0	0	0
otu404	0	0	0	0	4	0	4	1
otu405	0	0	0	0	0	0	5	3
otu406	0	1	0	43	0	0	0	0
otu407	0	0	0	0	8	5	5	3
otu408	0	0	0	0	6	43	4	7
otu409	0	0	0	0	2	4	1	0
otu410	0	0	0	1	0	2	0	0
otu411	0	0	0	0	1	1	2	4
otu412	0	0	0	0	2	1	11	16
otu413	1	0	0	5	0	20	1	0
otu414	2	0	0	0	0	0	0	0
otu415	0	0	0	6	0	0	0	0
otu416	0	0	0	0	3	1	7	5
otu417	4	0	0	0	0	0	0	0
otu418	0	0	0	0	2	30	0	18
otu419	1	0	0	1	0	0	0	0
otu420	1	3	0	0	0	0	0	0
otu421	0	0	0	0	4	1	1	1
otu422	2	2	0	19	0	0	0	0
otu423	0	0	0	0	3	0	0	5
otu424	0	0	0	8	0	0	0	0
otu425	1	0	0	4	0	1	0	0
otu426	0	0	0	0	1	1	1	5
otu427	0	0	0	0	0	81	0	0
otu428	0	1	0	3	1	2	1	0
otu429	8	0	0	1	0	0	0	0
otu430	0	0	0	0	0	2	4	2
otu431	0	0	0	1	1	2	6	2
otu432	2	0	0	0	0	0	0	0
otu433	0	0	0	3	0	0	0	0
otu434	0	0	0	0	1	0	5	2
otu435	0	0	0	0	0	0	2	0
otu436	4	1	0	25	0	0	0	0
otu437	0	0	0	0	0	1	0	1
otu438	0	0	0	0	0	2	4	4
otu439	0	0	0	0	0	1	5	4
otu440	5	0	0	0	0	0	0	0
otu441	0	0	0	0	1	0	1	0
otu442	0	0	0	0	1	0	5	2
otu443	0	0	0	0	3	1	5	4
otu444	0	0	0	0	5	4	5	9
otu445	0	0	2	0	0	0	0	0
otu446	0	0	0	0	5	3	3	10
otu447	0	0	0	0	6	0	4	2
otu448	1	0	0	2	15	0	1	0
otu449	1	0	0	11	0	3	3	0
otu450	3	0	0	1	0	0	0	0
otu451	0	0	0	0	1	1	2	1
otu452	0	0	0	0	8	2	5	7
otu453	0	0	0	0	0	21	0	11
otu454	1	0	0	1	0	0	0	0
otu455	8	0	0	34	0	0	0	0
otu456	0	0	0	0	0	0	2	2
otu457	2	1	0	0	0	0	0	0
otu458	0	0	0	0	1	1	3	1
otu459	0	0	0	2	0	0	1	2
otu460	0	0	0	0	3	0	4	2
otu461	0	0	0	0	0	1	0	2
otu462	4	1	0	0	0	0	0	0
otu463	7	1	1	0	0	0	0	0
otu464	0	0	0	0	0	71	0	0
otu465	1	2	0	0	2	1	0	0
otu466	0	0	0	36	0	0	0	0
otu467	0	0	0	0	1	4	11	4
otu468	0	0	0	0	0	0	3	3
otu469	1	0	0	0	0	1	2	3
otu470	0	0	0	0	0	0	4	0
otu471	0	0	0	0	6	3	6	16
otu472	0	0	0	1	0	7	0	0
otu473	0	0	0	0	0	27	0	10
otu474	0	0	0	1	0	2	0	1
otu475	0	0	0	0	2	2	5	3
otu476	0	0	0	0	1	1	7	2
otu477	4	2	1	8	1	0	0	3
otu478	0	0	0	25	1	0	0	0
otu479	1	0	0	1	0	0	1	1
otu480	0	0	0	18	0	1	0	1
otu481	0	0	0	0	0	2	6	4
otu482	0	0	0	0	4	0	5	0
otu483	2	0	0	1	0	0	0	0
otu484	0	0	0	0	5	1	6	11
otu485	6	0	0	3	0	0	0	0
otu486	0	0	0	4	0	0	0	0
otu487	0	0	0	0	4	1	4	1
otu488	0	0	0	0	1	62	0	0
otu489	0	0	0	0	1	0	2	3
otu490	0	0	0	0	0	61	0	0
otu491	0	0	0	0	0	0	1	1
otu492	0	0	0	2	0	0	0	0
otu493	0	0	0	0	0	0	3	1
otu494	7	0	0	0	0	0	0	0
otu495	0	0	0	0	3	0	3	1
otu496	0	1	0	0	2	1	4	3
otu497	0	0	0	0	5	0	1	2
otu498	0	0	0	1	0	2	0	1
otu499	0	0	0	0	3	1	5	5
otu500	2	0	0	0	0	0	0	0
otu501	1	0	0	1	1	1	1	0
otu502	0	0	0	0	1	0	4	0
otu503	1	0	2	2	0	1	0	0
otu504	0	0	0	0	1	0	3	4
otu505	0	0	0	0	4	0	11	1
otu506	0	0	0	0	0	0	15	10
otu507	0	0	0	0	0	5	5	11
otu508	0	0	0	0	2	7	1	4
otu509	0	0	0	0	2	0	1	4
otu510	0	0	0	0	0	0	3	0
otu511	0	0	0	26	0	0	0	0
otu512	9	0	0	5	0	0	0	0
otu513	0	0	0	0	5	2	6	1
otu514	0	0	0	0	1	3	0	1
otu515	0	0	0	18	0	0	0	0
otu516	2	1	0	0	0	0	0	0
otu517	0	0	0	0	5	1	0	1
otu518	0	0	0	0	2	1	2	0
otu519	5	0	0	2	0	0	0	0
otu520	4	0	0	0	0	0	0	0
otu521	0	0	0	0	0	0	5	1
otu522	0	0	0	2	0	2	0	0
otu523	1	0	0	54	0	0	0	0
otu524	0	0	0	0	0	2	0	0
otu525	0	0	0	2	0	0	0	0
otu526	0	0	0	0	3	1	1	0
otu527	2	2	0	0	0	0	0	0
otu528	0	0	0	2	0	2	0	3
otu529	0	0	0	0	4	1	4	0
otu530	0	0	0	4	0	0	0	0
otu531	0	0	0	0	0	1	2	4
otu532	0	0	0	0	0	0	1	1
otu533	0	0	0	0	1	4	3	2
otu534	0	0	0	0	0	0	1	3
otu535	0	0	0	0	0	0	3	1
otu536	0	0	0	2	0	0	0	0
otu537	0	0	0	4	0	3	0	0
otu538	0	0	0	4	0	0	0	0
otu539	0	0	0	7	0	0	0	0
otu540	0	0	0	0	3	2	1	1
otu541	0	0	0	0	3	18	5	5
otu542	0	0	0	0	0	0	3	1
otu543	0	0	0	0	1	2	0	5
otu544	0	0	0	7	0	0	0	0
otu545	9	0	0	0	0	0	0	0
otu546	0	0	0	2	0	0	0	0
otu547	1	0	0	2	1	0	2	0
otu548	0	0	0	0	5	2	2	2
otu549	0	0	0	0	1	1	2	2
otu550	0	0	0	0	1	0	3	0
otu551	2	0	0	1	0	0	0	0
otu552	0	0	0	0	2	0	4	4
otu553	2	6	0	9	0	0	0	0
otu554	0	0	0	0	1	0	12	3
otu555	0	0	0	0	2	0	1	1
